Id,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Functional,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition,SalePrice
42,3,1,3,3,0,4,0,23,2,2,0,2,5,1959,1959,1,0,12,13,3,2,1,3,3,1,1,967,5,1350,1,2,1,4,1328,0,1328,1,3,5,6,1,1959.0,1,1,308,4,4,1,8,4,170000
43,3,1,0,3,0,1,0,20,2,2,0,6,5,1983,1983,1,0,6,6,3,4,1,2,3,0,0,747,3,840,1,2,1,4,884,0,884,1,2,5,6,1,1983.0,1,2,504,4,2,2,8,4,144000
44,3,1,0,3,0,1,0,5,2,2,0,2,5,1975,1980,3,0,12,13,3,4,1,2,3,0,3,280,1,938,1,4,1,4,938,0,938,1,3,5,6,5,1977.0,2,1,308,4,4,2,8,4,130250
45,3,1,3,3,0,4,0,12,2,2,0,2,5,1959,1959,1,0,3,14,3,4,1,3,3,3,0,179,1,1150,1,0,1,0,1150,0,1150,1,3,6,6,1,1959.0,1,1,300,4,4,2,8,4,141000
46,3,1,3,3,0,4,0,16,2,2,4,2,9,2005,2005,3,0,8,8,0,4,2,0,3,3,2,456,5,1752,1,0,1,4,1752,0,1752,2,0,6,6,1,2005.0,1,2,576,4,4,2,8,4,319900
47,3,1,0,3,0,1,0,11,2,2,0,0,7,2003,2003,1,0,12,13,2,4,2,0,3,3,2,1351,5,1434,1,0,1,4,1518,631,2149,1,2,6,6,1,2003.0,1,2,670,4,4,2,8,0,239686
48,1,1,3,3,0,4,0,21,2,2,0,2,8,2006,2006,1,0,12,13,2,4,2,2,3,0,2,24,5,1656,1,0,1,4,1656,0,1656,2,2,7,6,1,2006.0,1,3,826,4,4,2,8,4,249700
49,4,1,3,3,0,4,0,17,2,2,1,5,4,1920,2008,1,0,8,8,3,4,0,3,3,3,5,0,5,736,1,2,1,4,736,716,1452,2,3,8,6,1,1978.5061638868744,2,0,0,4,4,0,6,5,113000
50,3,1,3,3,0,4,0,19,2,2,0,2,5,1966,1966,1,0,6,6,3,4,1,3,3,3,1,763,5,955,1,0,1,4,955,0,955,1,3,6,6,1,1966.0,2,1,386,4,4,2,8,4,127000
51,3,1,1,3,0,0,0,8,2,2,0,5,6,1997,1997,1,0,12,13,3,4,2,2,3,0,2,182,5,794,1,2,1,4,794,676,1470,2,3,6,6,1,1997.0,0,2,388,4,4,2,8,4,177000
52,4,1,3,3,0,4,0,3,2,2,0,0,6,1934,1950,1,0,13,14,3,4,2,3,3,3,5,0,5,816,1,4,1,4,816,0,1176,1,3,6,6,5,1985.0,2,2,528,4,4,2,8,4,114500
53,4,0,1,0,0,0,1,9,8,2,2,2,5,1963,1963,1,0,13,14,1,4,1,2,3,1,3,104,2,816,1,4,0,4,816,0,816,1,3,5,6,4,1963.0,2,2,516,4,4,2,8,4,110000
54,3,1,0,2,0,4,0,24,2,2,0,2,9,1981,1987,1,6,14,15,2,4,1,0,3,1,2,1810,5,1842,1,2,1,4,1842,0,1842,0,2,5,6,1,1981.0,0,3,894,4,4,2,8,4,385000
55,3,1,3,0,0,4,1,12,2,2,0,7,5,1955,1955,1,0,8,8,3,4,1,3,3,3,0,384,5,384,1,4,1,4,1360,0,1360,1,3,6,2,5,1962.0,2,2,572,4,4,2,8,4,130000
56,3,1,0,3,0,4,0,12,2,2,0,2,6,1964,1964,1,0,6,10,3,4,1,3,3,3,1,490,5,1425,1,2,1,4,1425,0,1425,2,3,7,6,1,1964.0,1,2,576,4,4,2,8,4,180500
57,1,1,3,3,0,4,0,21,2,2,3,5,8,1999,2000,1,0,8,8,2,4,2,2,3,3,2,649,5,970,1,0,1,4,983,756,1739,2,2,7,6,1,1999.0,0,2,480,4,4,2,8,0,172500
58,3,1,0,3,0,0,0,5,2,2,0,5,7,2004,2004,1,0,12,13,2,4,2,2,3,3,5,0,5,860,1,0,1,4,860,860,1720,2,2,7,6,1,2004.0,1,2,565,4,4,2,8,4,196500
60,3,1,3,0,0,4,0,5,2,2,0,2,5,1972,1972,1,0,6,6,3,4,1,3,3,0,0,632,5,780,1,0,1,4,780,0,780,1,3,4,6,5,1973.0,2,1,352,4,4,2,8,4,124900
61,3,1,3,3,0,4,0,20,5,2,0,2,6,2004,2004,1,0,12,13,3,4,2,2,3,3,0,941,5,1158,1,0,1,4,1158,0,1158,1,2,5,6,5,2006.0,2,2,576,4,4,2,6,5,158000
62,4,1,3,3,0,4,0,9,2,2,0,4,5,1920,1996,1,0,8,8,3,4,0,3,0,3,5,0,5,530,1,4,0,4,581,530,1111,1,1,6,6,5,1935.0,2,1,288,4,4,0,8,4,101000
63,3,1,0,3,0,4,0,16,2,2,4,2,8,2006,2006,1,0,12,13,2,4,2,2,1,2,2,24,5,1370,1,0,1,4,1370,0,1370,2,2,6,6,1,2006.0,1,2,484,4,4,2,8,4,202500
64,4,1,0,0,0,4,0,17,6,1,0,5,7,1921,1950,1,0,11,12,3,4,0,3,3,3,5,0,5,576,1,2,1,4,902,808,1710,2,3,9,6,5,1990.0,2,2,480,4,4,2,8,4,140000
65,3,1,3,3,0,4,0,5,2,2,0,5,7,1997,1998,1,0,12,13,3,4,2,2,3,3,2,739,5,1057,1,0,1,4,1057,977,2034,2,2,8,6,1,1998.0,1,2,645,4,4,2,8,4,219500
66,3,1,3,3,0,4,0,16,2,2,0,5,8,2004,2005,1,0,12,13,2,4,2,0,3,0,5,0,5,1143,1,0,1,4,1143,1330,2473,2,2,9,6,3,2004.0,1,3,852,4,4,2,8,4,317000
67,3,1,3,3,0,4,0,12,3,2,0,2,7,1970,1989,1,0,9,10,3,4,1,2,3,1,2,912,5,1947,1,4,1,4,2207,0,2207,2,3,7,2,1,1970.0,1,2,576,4,4,2,8,4,180000
68,3,1,0,3,0,4,0,5,2,2,0,2,7,2003,2003,1,0,12,13,2,4,2,2,3,0,2,1013,5,1453,1,0,1,4,1479,0,1479,2,2,7,6,1,2003.0,1,2,558,4,4,2,8,4,226000
69,4,1,3,3,0,0,0,17,0,2,0,2,4,1945,1950,1,0,8,8,3,2,1,3,3,3,5,0,5,747,1,4,1,4,747,0,747,1,3,4,6,1,1945.0,2,1,220,4,4,2,8,4,80000
70,3,1,3,3,0,0,0,4,2,2,0,0,7,1953,1953,1,0,3,0,2,4,1,3,3,3,1,603,5,1304,2,4,1,4,1304,983,2287,2,3,7,6,1,1953.0,0,2,667,4,4,2,8,4,225000
71,3,1,0,3,0,4,0,12,2,2,0,2,7,1973,1973,1,0,9,10,3,2,1,2,3,1,0,1880,5,2223,1,0,1,4,2223,0,2223,2,3,8,6,1,1973.0,0,2,516,4,4,2,8,4,244000
72,3,1,3,3,0,0,0,11,2,2,0,2,4,1982,2006,1,0,6,10,3,4,1,3,3,3,0,565,5,845,1,4,1,4,845,0,845,1,3,4,6,5,1987.0,2,2,360,4,4,2,8,4,129500
73,3,1,0,3,0,0,0,8,2,2,0,5,7,1998,1998,1,0,12,13,3,4,2,2,3,3,5,0,5,832,1,2,1,4,885,833,1718,2,3,7,6,1,1998.0,0,2,427,4,4,2,8,4,185000
74,3,1,3,3,0,4,0,12,2,2,0,2,5,1954,2003,1,0,13,14,3,4,1,3,3,3,0,320,1,1086,1,2,1,4,1086,0,1086,1,3,6,6,1,1989.0,2,2,490,4,4,2,8,4,144900
75,4,1,3,3,0,0,0,17,2,2,0,5,3,1915,1950,2,0,12,13,2,2,1,1,3,3,5,0,5,840,1,2,0,4,840,765,1605,2,3,8,6,5,1915.0,2,1,379,4,4,2,8,4,107400
76,4,1,3,3,0,4,0,10,2,2,3,7,4,1973,1973,1,0,5,5,3,4,1,2,3,1,2,462,5,462,1,4,1,4,526,462,988,1,3,5,6,3,1973.0,2,1,297,4,4,2,8,4,91000
77,3,1,0,3,0,4,0,12,2,2,0,2,4,1956,1956,1,0,12,13,3,4,1,3,3,3,0,228,5,952,1,0,1,0,952,0,952,1,3,4,6,5,1956.0,2,1,283,4,4,2,8,4,135750
78,4,1,3,3,0,4,0,3,2,2,0,0,5,1948,2001,1,0,13,14,3,4,1,3,3,3,1,336,2,672,1,4,1,4,1072,213,1285,1,3,6,2,5,1948.0,2,1,240,4,4,2,8,4,127000
79,3,1,3,3,0,4,0,19,2,2,2,2,4,1968,1968,3,0,6,6,3,4,1,3,3,3,5,0,5,1768,1,4,0,4,1768,0,1768,2,3,8,6,1,1978.5061638868744,2,0,0,4,4,2,8,4,136500
80,4,1,3,3,0,0,0,17,2,2,0,5,5,1910,1981,1,0,13,14,3,4,2,3,3,3,5,0,5,440,1,2,1,4,682,548,1230,1,3,5,6,5,1966.0,2,2,440,4,4,2,8,4,110000
81,3,1,3,3,0,0,0,12,2,2,0,5,6,1968,1968,1,0,12,13,3,2,1,2,3,3,4,448,5,896,1,4,1,4,1182,960,2142,2,2,8,6,1,1968.0,0,1,509,4,4,2,8,4,193500
82,4,1,3,3,0,2,0,11,2,2,4,2,6,1998,1998,3,0,12,13,3,2,2,0,1,3,2,1201,5,1237,1,0,1,4,1337,0,1337,2,3,5,6,1,1998.0,0,2,405,4,4,2,8,4,153500
83,3,1,3,3,0,4,0,21,2,2,0,2,8,2007,2007,1,0,12,13,3,4,2,2,3,3,2,33,5,1563,1,0,1,4,1563,0,1563,2,2,6,6,1,2007.0,1,3,758,4,4,2,8,4,245000
84,3,1,0,3,0,4,0,12,2,2,0,2,5,1960,1960,1,0,8,8,3,4,1,3,3,3,5,0,5,1065,1,2,1,4,1065,0,1065,1,3,6,6,5,1974.0,2,2,461,4,4,2,0,4,126500
85,3,1,0,3,0,4,0,8,2,2,0,7,7,1995,1996,1,0,6,6,3,4,2,2,3,3,5,0,5,384,1,2,1,4,804,670,1474,2,3,7,6,3,1995.0,0,2,400,4,4,2,8,4,168500
86,3,1,3,3,0,0,0,15,2,2,0,5,8,1991,1992,3,0,6,6,2,4,1,2,3,3,5,0,5,1288,1,0,1,4,1301,1116,2417,2,2,9,6,1,1991.0,2,2,462,4,4,2,8,4,260000
87,3,1,1,3,0,4,0,8,2,2,0,5,6,2005,2005,1,0,12,13,2,4,2,2,3,0,5,0,5,684,1,0,1,4,684,876,1560,2,2,6,6,3,2005.0,0,2,400,4,4,2,8,4,174000
88,1,1,3,3,0,0,0,21,2,2,4,5,6,2009,2009,1,0,12,13,2,4,2,2,3,0,5,0,5,612,1,0,1,4,612,612,1224,2,2,4,6,5,2009.0,1,2,528,4,4,2,6,5,164500
89,0,1,0,3,0,0,0,9,1,1,0,0,3,1915,1982,3,0,9,10,1,1,1,3,0,3,5,0,5,1013,1,4,0,4,1013,0,1526,1,1,6,6,1,1978.5061638868744,2,0,0,4,4,0,3,0,85000
90,3,1,3,3,0,4,0,5,2,2,0,2,4,1994,1995,1,0,12,13,3,4,2,2,3,3,2,588,5,990,1,0,1,4,990,0,990,1,3,5,6,1,1978.5061638868744,2,0,0,4,4,2,8,4,123600
91,3,1,3,3,0,4,0,12,2,2,0,2,4,1950,1950,1,0,3,14,3,4,3,3,3,3,5,0,5,0,1,4,1,0,1040,0,1040,1,3,4,6,5,1950.0,2,2,420,4,4,2,8,4,109900
92,3,1,3,3,0,4,0,12,2,2,0,2,5,1961,1961,3,0,6,6,3,4,1,3,3,3,4,600,5,1235,1,4,1,4,1235,0,1235,1,3,6,6,1,1961.0,2,2,480,4,4,2,8,0,98600
93,3,1,0,1,0,4,0,6,2,2,0,2,5,1921,2006,1,0,13,14,3,2,0,2,3,3,0,713,5,876,1,0,1,4,964,0,964,1,3,5,6,5,1921.0,2,2,432,4,4,2,8,4,163500
94,0,1,3,3,0,0,0,17,2,2,1,4,6,1910,1998,3,0,8,8,3,4,0,3,0,2,4,1046,5,1214,2,0,0,4,1260,1031,2291,2,3,9,6,5,1900.0,2,2,506,4,4,2,8,4,133900
95,3,1,0,3,0,4,0,5,2,2,0,5,6,1997,1997,1,0,12,13,3,2,2,2,3,3,2,648,5,824,1,0,1,4,905,881,1786,2,2,7,6,1,1997.0,1,2,684,4,4,2,8,4,204750
96,3,1,1,3,0,0,0,8,2,2,0,5,6,1993,1993,1,0,12,13,0,2,2,2,1,3,0,310,5,680,1,2,1,4,680,790,1470,2,3,6,6,3,1993.0,0,2,420,4,4,2,8,4,185000
97,3,1,0,3,0,4,0,5,2,2,0,2,7,1999,1999,1,0,12,13,2,4,2,2,3,0,0,1162,5,1588,1,0,1,4,1588,0,1588,2,2,6,6,1,1999.0,1,2,472,4,4,2,8,4,214000
98,3,1,3,1,0,4,0,7,2,2,0,2,4,1965,1965,3,0,6,6,3,4,1,3,3,3,4,520,5,960,1,4,1,1,960,0,960,1,3,6,6,1,1965.0,0,1,432,4,4,1,8,4,94750
99,3,1,3,3,0,0,0,7,2,2,0,2,5,1920,1950,1,0,13,14,3,4,0,3,3,3,0,108,5,458,1,1,0,4,835,0,835,1,3,5,6,2,1920.0,2,1,366,1,4,2,0,0,83000
100,3,1,0,3,0,4,0,12,2,2,0,2,4,1959,1959,1,0,9,10,3,4,1,3,3,3,0,569,5,950,1,1,1,4,1225,0,1225,1,3,6,6,1,1978.5061638868744,2,0,0,4,4,2,8,4,128950
101,3,1,0,3,0,4,0,14,2,2,0,2,6,1977,2001,1,0,9,10,3,4,2,3,3,2,0,1200,5,1610,1,2,1,4,1610,0,1610,2,2,6,6,1,1977.0,1,2,480,4,4,2,8,4,205000
102,3,1,3,3,0,4,0,20,2,2,0,5,6,1985,1985,1,0,6,6,2,4,1,2,3,3,5,0,5,741,1,4,1,4,977,755,1732,2,2,7,6,1,1985.0,0,2,476,4,4,2,8,4,178000
103,3,1,3,0,0,4,0,20,2,2,2,2,5,1979,1979,1,0,6,6,3,1,3,3,3,3,5,0,5,0,1,4,1,4,1535,0,1535,2,3,8,6,1,1979.0,2,2,410,4,4,2,8,2,118964
104,3,1,0,3,0,0,0,5,2,2,0,2,7,2009,2009,1,0,12,13,3,4,2,2,3,3,5,0,5,1226,1,0,1,4,1226,0,1226,2,2,6,6,1,2009.0,1,3,740,4,4,2,8,4,198900
105,4,1,3,3,0,0,0,9,2,2,0,0,7,1931,1950,1,0,11,12,3,1,2,3,3,3,3,224,5,1040,1,0,1,1,1226,592,1818,1,3,7,6,5,1951.0,2,1,240,4,4,2,8,4,169500
106,1,1,3,3,0,4,0,21,2,2,0,5,8,2003,2004,3,0,12,13,2,4,2,0,3,3,5,0,5,1053,1,0,1,4,1053,939,1992,2,2,9,6,1,2003.0,1,2,648,4,4,2,8,4,250000
107,4,1,3,3,0,4,0,17,2,2,0,2,4,1885,1995,4,0,12,13,3,4,0,1,3,3,5,0,5,641,1,2,1,4,1047,0,1047,1,3,6,6,5,1954.0,2,1,273,1,1,0,8,4,100000
108,4,1,3,3,0,4,0,17,2,2,0,2,5,1948,1950,1,0,12,13,3,4,1,3,3,3,0,104,1,789,1,0,1,4,789,0,789,1,3,5,6,5,1948.0,2,1,250,4,4,2,8,5,115000
109,4,1,3,3,0,0,0,9,0,2,0,0,5,1919,2005,1,0,5,5,3,4,1,3,3,3,5,0,5,793,2,4,0,1,997,520,1517,2,1,7,6,1,1978.5061638868744,2,0,0,4,4,0,8,4,115000
110,3,1,0,3,0,4,0,14,2,2,0,2,6,1977,1977,3,0,9,10,3,4,1,2,3,3,1,705,5,1844,1,0,1,4,1844,0,1844,2,3,7,6,1,1977.0,1,2,546,4,4,2,0,4,190000
111,3,1,3,3,0,4,0,7,2,2,0,0,6,1954,1972,1,0,13,14,3,4,1,3,0,3,4,444,5,994,1,2,1,4,1216,639,1855,2,3,7,6,1,1954.0,2,1,325,4,4,2,8,4,136900
112,3,1,0,3,0,4,0,8,2,2,0,7,7,2000,2000,1,0,12,13,3,4,2,2,3,3,2,250,5,384,1,0,1,4,774,656,1430,2,3,7,6,3,2000.0,0,2,400,4,4,2,8,4,180000
113,3,1,3,3,0,4,0,5,2,2,0,5,7,2007,2007,1,0,12,13,2,4,2,0,3,0,2,984,5,1264,1,0,1,4,1282,1414,2696,2,0,10,6,3,2007.0,0,3,792,4,4,2,6,5,383970
114,3,1,3,0,0,0,0,6,2,2,0,2,6,1953,1953,3,0,13,14,3,2,1,2,3,2,0,35,4,1809,1,4,1,4,2259,0,2259,2,2,7,6,2,1953.0,2,2,450,4,4,2,0,0,217000
115,3,1,0,3,0,4,1,6,2,2,0,5,6,1945,2002,2,0,13,14,3,4,1,3,3,3,0,774,3,1028,1,0,1,4,1436,884,2320,2,2,9,6,5,1945.0,2,1,180,4,4,2,8,4,259500
116,1,1,3,3,0,0,0,21,2,2,4,5,6,1999,1999,1,0,8,8,3,4,2,2,3,3,2,419,5,729,1,2,1,4,729,729,1458,2,3,5,6,5,1999.0,2,2,440,4,4,2,8,4,176000
117,3,1,3,3,0,4,0,19,2,2,0,2,5,1962,1962,1,0,13,14,3,4,1,3,3,3,3,170,1,1092,1,4,1,4,1092,0,1092,1,3,6,6,1,1962.0,2,1,288,4,4,2,8,4,139000
118,3,1,3,3,0,0,0,7,2,2,0,2,5,2006,2007,1,0,12,13,3,4,2,2,3,3,5,0,5,1125,1,2,1,4,1125,0,1125,1,3,5,6,1,2007.0,2,2,430,4,4,2,6,5,155000
120,3,1,3,3,0,4,0,5,2,2,0,5,6,2005,2006,1,0,12,13,2,4,2,2,3,3,5,0,5,728,1,0,1,4,728,728,1456,2,2,8,6,1,2005.0,0,2,390,4,4,2,6,5,163990
